Country,Year,Forecast_CO2,Lower_95_CI,Upper_95_CI
Brazil,2032,523.2179540961799,487.60421360459236,558.8316945877675
Brazil,2033,527.6535398020317,492.0397993104441,563.2672802936193
Brazil,2034,531.956311486966,496.3425709953784,567.5700519785536
Brazil,2035,536.1302459795965,500.5165054880089,571.743986471184
Brazil,2036,540.1792010310045,504.5654605394169,575.7929415225921
Brazil,2037,544.1069188802586,508.493178388671,579.7206593718462
Brazil,2038,547.9170297131723,512.3032892215847,583.5307702047598
Brazil,2039,551.6130550174955,515.999314525908,587.2267955090831
Brazil,2040,555.198410837644,519.5846703460564,590.8121513292316
Brazil,2041,558.6764109319714,523.0626704403838,594.290151423559
Brazil,2042,562.0502698355044,526.4365293439168,597.664010327092
Brazil,2043,565.3231058309703,529.7093653393828,600.9368463225579
Canada,2024,574.8588687391585,551.5504361834727,598.1673012948444
Canada,2025,575.9501633263203,552.6417307706345,599.2585958820061
Canada,2026,576.9585457130565,553.6501131573707,600.2669782687424
Canada,2027,577.890315236925,554.5818826812391,601.1987477926108
Canada,2028,578.7512926369963,555.4428600813104,602.0597251926821
Canada,2029,579.5468564158543,556.2384238601685,602.8552889715402
Canada,2030,580.2819764389567,556.9735438832708,603.5904089946425
Canada,2031,580.9612449812496,557.6528124255638,604.2696775369354
Canada,2032,581.5889054149859,558.2804728593001,604.8973379706717
Canada,2033,582.1688787179573,558.8604461622715,605.4773112736432
Canada,2034,582.7047879677361,559.3963554120503,606.013220523422
Canada,2035,583.1999809749436,559.8915484192578,606.5084135306295
Canada,2036,583.6575511969327,560.3491186412468,606.9659837526185
Canada,2037,584.0803570625319,560.7719245068461,607.3887896182177
Canada,2038,584.4710398285739,561.1626072728881,607.7794723842597
Canada,2039,584.8320400797552,561.5236075240693,608.140472635441
Canada,2040,585.1656129749028,561.857180419217,608.4740455305887
Canada,2041,585.4738423348911,562.1654097792052,608.7822748905769
Canada,2042,585.7586536602138,562.4502211045279,609.0670862158996
Canada,2043,586.0218261595345,562.7133936038487,609.3302587152203
Australia,2024,416.8987418868471,408.845848270225,424.9516355034692
Australia,2025,418.78651465591815,410.73362103929605,426.83940827254025
Australia,2026,420.4692910691884,412.4163974525663,428.5221846858105
Australia,2027,421.9693320187419,413.9164384021198,430.022225635364
Australia,2028,423.3064810497084,415.2535874330863,431.3593746663305
Australia,2029,424.4984268639522,416.4455332473301,432.5513204805743
Australia,2030,425.56093731805345,417.50804370143135,433.61383093467555
Australia,2031,426.5080680110629,418.4551743944408,434.560961627685
Australia,2032,427.35234822136863,419.29945460474653,435.40524183799073
Australia,2033,428.1049466523717,420.0520530357496,436.1578402689938
Australia,2034,428.77581917956655,420.72292556294445,436.82871279618865
Australia,2035,429.37384055352146,421.32094693689936,437.42673417014356
Australia,2036,429.9069218010161,421.854028184394,437.9598154176382
Australia,2037,430.38211487739574,422.32922126077364,438.43500849401784
Australia,2038,430.8057059545541,422.752812337932,438.8585995711762
Australia,2039,431.1832985786201,423.130404961998,439.2361921952422
Australia,2040,431.5198877974145,423.4669941807924,439.5727814140366
Australia,2041,431.81992623828427,423.76703262166217,439.87281985490637
Australia,2042,432.0873830104351,424.034489393813,440.1402766270572
Australia,2043,432.3257962109636,424.2729025943415,440.3786898275857
